travelTimeMeta_ID,Vsi,Qtn_TT,Ic_TT,fz_TT,ztop_TT,zbot_TT,Group,Group_ID
24,76.60059887,53.75481704,3.278747198,0.302319713,3.75,5.75,af/Qi,6
24,82.9133525,15.86323779,4.668365699,0.385480725,5.75,7.75,af/Qi,6
24,91.65142257,11.83884807,4.179107382,0.459212933,7.75,9.75,af/Qi,6
24,106.7248062,17.79669048,3.562745366,0.539424517,9.75,11.75,af/Qi,6
24,129.4708836,23.69153236,3.37205643,0.628384304,11.75,13.75,af/Qi,6
24,263.4826738,72.14213819,2.773020904,0.722620916,13.75,15.75,af/Qi,6
24,227.3276234,128.9526437,2.670987132,0.857982044,15.75,17.75,af/Qi,6
24,237.0818939,326.860824,2.425221446,1.029479888,17.75,19.75,af/Qi,6
24,335.0069667,326.8961744,2.136375031,1.236998852,19.75,21.75,af/Qi,6
24,362.5621567,283.439983,1.739316825,1.465866177,21.75,23.8,af/Qi,6
24,287.3428015,163.4464786,2.439539953,1.69135784,23.8,25.9,af/Qi,6
24,175.6800146,40.85311097,3.246792225,1.847388702,25.9,27.75,af/Qi,6
24,190.2916112,43.52194742,3.187990216,1.998206703,27.75,29.75,af/Qi,6
24,213.6922142,48.19331273,3.126572121,2.162574077,29.75,31.75,af/Qi,6
24,225.272461,59.46037613,3.056425085,2.324560825,31.75,33.75,af/Qi,6
25,110.424752,103.5275192,2.35526409,0.185032505,1.75,3.75,af/Qi,6
25,90.4699314,69.06651605,3.305519368,0.309306844,3.75,5.75,af/Qi,6
25,83.2142176,20.27880406,3.673959171,0.388977431,5.75,7.75,af/Qi,6
25,90.97727928,23.69199133,3.566720574,0.466282898,7.75,9.75,af/Qi,6
25,116.0352882,48.70038744,3.187847228,0.546049741,9.75,11.75,af/Qi,6
25,119.9948849,26.4185311,3.247131461,0.633363715,11.75,13.75,af/Qi,6
25,199.9579643,33.68194198,3.021634714,0.715590506,13.75,15.75,af/Qi,6
25,242.5043461,40.63140441,2.942813443,0.795241732,15.75,17.75,af/Qi,6
25,189.0013039,152.8291784,2.09869263,0.929085452,17.75,19.75,af/Qi,6
25,133.2439685,24.80639927,3.29257452,1.047875612,19.75,21.75,af/Qi,6
25,176.3707914,86.67455898,2.780242832,1.165495805,21.75,23.75,af/Qi,6
25,282.9134748,150.2866761,2.387066814,1.327388067,23.75,25.75,af/Qi,6
25,212.6723842,108.4706179,2.812601524,1.501372535,25.75,27.75,af/Qi,6
25,253.4008355,184.8194019,2.294379128,1.676476895,27.75,29.75,af/Qi,6
25,210.5307818,97.28537669,2.824450297,1.862875374,29.75,31.75,af/Qi,6
26,198.3628075,302.4329352,1.651644323,0.281279704,1.75,3.75,af/Qi,6
26,117.1882568,95.14355558,2.726728241,0.437618947,3.75,5.75,af/Qi,6
26,97.35490848,31.50560938,2.99192531,0.53454314,5.75,7.75,af/Qi,6
26,97.06450086,27.50928874,3.046413543,0.603427194,7.75,9.75,af/Qi,6
26,98.07509562,27.90005802,2.99663339,0.678251556,9.75,11.75,af/Qi,6
26,111.495929,30.196611,3.014248804,0.754560688,11.75,13.75,af/Qi,6
26,122.4010183,58.29050943,2.945596695,0.855078694,13.75,15.75,af/Qi,6
26,288.3707489,64.21196982,2.988907761,0.997482688,15.75,17.75,af/Qi,6
26,199.8094346,109.9307995,2.435885867,1.139514589,17.75,19.75,af/Qi,6
26,277.93696,160.2936256,1.665449658,1.317092731,19.75,21.75,af/Qi,6
26,267.369419,231.7487821,1.550680322,1.512794615,21.75,23.9,af/Qi,6
26,283.9604646,209.0569409,1.658695332,1.708391748,23.9,25.75,af/Qi,6
26,101584.0858,155.8694854,2.580685817,1.801994116,25.75,26,af/Qi,6
26,335.9315717,112.4890869,2.826258972,1.903694532,26,28,af/Qi,6
26,298.6575664,68.36079845,2.816138371,2.059849216,28,29.75,af/Qi,6
27,168.3737288,178.0754534,2.195305328,0.415165094,1.75,3.75,af/Qi,6
27,90.70780988,23.76472475,3.495160161,0.533888511,3.75,5.75,af/Qi,6
27,92.23839189,24.49784072,3.411670497,0.602907383,5.75,7.75,af/Qi,6
27,104.3055421,48.56708577,2.999159865,0.679767403,7.75,9.75,af/Qi,6
27,117.3791733,46.60200122,2.796561433,0.776425604,9.75,11.75,af/Qi,6
27,113.0726732,44.51140917,2.932723644,0.884812365,11.75,13.75,af/Qi,6
27,198.5765054,177.7221116,1.923923604,1.02312816,13.75,15.75,af/Qi,6
27,365.9846533,219.3774541,2.196516069,1.214018658,15.75,17.75,af/Qi,6
27,238.6935931,88.24912312,2.935704064,1.382186715,17.75,19.75,af/Qi,6
