travelTimeMeta_ID,Vsi,Qtn_TT,Ic_TT,fz_TT,ztop_TT,zbot_TT,Group,Group_ID
31,100.700506,114.3480265,2.143386561,0.42229899,3.75,5.75,af/Qi,6
31,211.2649647,134.1739054,2.143748977,0.566028838,5.75,7.75,af/Qi,6
31,133.3555427,87.61451081,2.453224515,0.689658342,7.75,9.75,af/Qi,6
31,114.3144896,64.06867539,2.767123014,0.799005756,9.75,11.75,af/Qi,6
31,49.72431455,126.2626982,2.596760585,0.936811533,11.75,13.75,af/Qi,6
31,-146.0868657,84.48267485,2.76847354,1.073881521,13.75,15.75,af/Qi,6
31,128.0798934,35.06292802,3.039475272,1.188456808,15.75,17.75,af/Qi,6
31,141.9212364,31.58193392,3.046821999,1.300578919,17.75,19.75,af/Qi,6
31,126.5323436,30.90078593,3.068861526,1.414054452,19.75,21.75,af/Qi,6
31,133.2057829,27.92226652,3.085272899,1.524865616,21.75,23.75,af/Qi,6
31,145.9520208,28.99214964,3.086012861,1.639422108,23.75,25.75,af/Qi,6
31,170.4681555,53.36193197,2.7304839,1.759097116,25.75,27.75,af/Qi,6
31,152.3265361,40.97751345,3.148602505,1.907516901,27.75,29.75,af/Qi,6
31,192.6831787,60.06565227,3.003976955,2.06181123,29.75,31.75,af/Qi,6
31,239.8298069,58.7079094,3.007845501,2.227474012,31.75,33.75,af/Qi,6
31,205.6048804,49.2407535,3.004704937,2.389097076,33.75,35.75,af/Qi,6
31,216.295325,41.66496436,3.012462432,2.538010298,35.75,37.75,af/Qi,6
31,199.4901745,39.28557852,3.001919432,2.684720656,37.75,39.75,af/Qi,6
31,200.3017065,44.73474922,2.986452413,2.827932562,39.75,41.75,af/Qi,6
31,218.7077474,34.42848689,3.03229876,2.973474447,41.75,43.75,af/Qi,6
31,190.0453607,34.62934205,3.020886416,3.115086371,43.75,45.75,af/Qi,6
31,295.2351615,36.90435848,3.018687324,3.257008872,45.75,47.75,af/Qi,6
31,222.5900653,32.84703921,3.066702935,3.429124738,47.75,50.5,af/Qi,6
32,126.3963269,127.7334141,2.022931187,0.522161188,3.75,5.75,af/Qi,6
32,170.6793989,139.639795,2.165719976,0.667440817,5.75,7.75,af/Qi,6
32,197.5770288,172.6636456,2.025114015,0.819028136,7.75,9.75,af/Qi,6
32,206.9321977,127.7462474,2.14042612,0.986509822,9.75,11.75,af/Qi,6
32,189.3724835,168.6515445,2.313322514,1.125322244,11.75,13.75,af/Qi,6
32,326.3277784,490.1187515,2.232496684,1.317010316,13.75,15.75,af/Qi,6
32,528.890815,368.1801392,1.962194039,1.549533809,15.75,17.75,af/Qi,6
33,146.4282503,145.0127536,1.770784157,0.379242887,1.75,3.75,af/Qi,6
33,107.7533044,100.9158022,2.376820067,0.523833382,3.75,5.75,af/Qi,6
33,108.9066494,45.10966867,2.84033567,0.598978182,5.75,7.75,af/Qi,6
33,147.1291811,61.81885765,2.763977269,0.662690889,7.75,9.75,af/Qi,6
33,182.8655933,148.4197227,2.246600972,0.777679104,9.75,11.75,af/Qi,6
33,192.1466508,38.0574361,2.89195063,0.873911357,11.75,13.75,af/Qi,6
33,209.8000321,35.96620308,2.845662747,0.942037407,13.75,15.75,af/Qi,6
33,168.384579,164.813306,2.047297032,1.064814437,15.75,17.75,af/Qi,6
