travelTimeMeta_ID,site_ID,Group,citation_ID,name,Geology (Holzer),search (Grant),Geology (Site Table),Geology (Mapping),longitude,latitude,method,date,quality,VelocityDataType,vsz_value,vsz_unit,z_value,z_unit,depth_unit,traveltime_unit,DGWT,Group
42,3269,California,80,ALC028,afem,California,"af/Qi",#N/A,-122.2377,37.7382,SCPT,2001.2.5,,Vs,188.0148,m/s,15.75,m,m,m/s,1.1,af/Qi
43,3270,California,80,ALC029,,California,"Qal1",#N/A,-122.2393,37.7317,SCPT,2001.2.5,,Vs,237.8999,m/s,14.5,m,m,m/s,#N/A,Qal1
44,3271,California,80,ALC030,afem,California,"af/Qi",#N/A,-122.2591,37.7437,SCPT,2001.2.5,,Vs,178.1603,m/s,16.25,m,m,m/s,0.85,af/Qi
45,3272,California,80,ALC031,afem,California,"af/Qi",#N/A,-122.2272,37.755,SCPT,2001.2.6,,Vs,194.6135,m/s,21.75,m,m,m/s,1.7,af/Qi
46,3273,California,80,ALC032,,California,"Qs",#N/A,-122.2794,37.7764,SCPT,2001.2.6,,Vs,270.7104,m/s,13.3,m,m,m/s,#N/A,Qs
47,3274,California,80,ALC033,afem,California,"af/Qi",#N/A,-122.3141,37.8636,SCPT,2001.6.14,,Vs,200.4582,m/s,26.25,m,m,m/s,2.1,af/Qi
48,3275,California,80,ALC034,afem,California,"af/Qi",#N/A,-122.3123,37.8673,SCPT,2001.6.14,,Vs,191.7394,m/s,27.25,m,m,m/s,2,af/Qi
49,3276,California,80,ALC035,afem,California,"af/Qi",#N/A,-122.3065,37.8663,SCPT,2001.6.15,,Vs,204.4393,m/s,29.75,m,m,m/s,1.5,af/Qi
50,3277,California,80,ALC036,afem,California,"af/Qi",#N/A,-122.3058,37.8711,SCPT,2001.6.15,,Vs,207.1883,m/s,23.75,m,m,m/s,1.5,af/Qi
51,3278,California,80,ALC037,afem,California,"af/Qi",#N/A,-122.3017,37.8613,SCPT,2001.6.19,,Vs,205.1978,m/s,26.45,m,m,m/s,1,af/Qi
52,3279,California,80,ALC038,afem,California,"af/Qi",#N/A,-122.3011,37.8585,SCPT,2001.6.19,,Vs,194.8486,m/s,26.25,m,m,m/s,1,af/Qi
53,3280,California,80,ALC039,afem,California,"af/Qi",#N/A,-122.2957,37.8501,SCPT,2001.6.20,,Vs,257.7698,m/s,24.55,m,m,m/s,2.1,af/Qi
54,3281,California,80,ALC040,afem,California,"af/Qi",#N/A,-122.2994,37.8533,SCPT,2001.6.20,,Vs,195.719,m/s,19.75,m,m,m/s,1,af/Qi
55,3282,California,80,ALC041,afem,California,"af/Qi",#N/A,-122.3033,37.8673,SCPT,2001.6.20,,Vs,159.2425,m/s,14.8,m,m,m/s,2.1,af/Qi
56,3283,California,80,ALC042,afem,California,"Qal2",#N/A,-122.3094,37.8776,SCPT,2001.6.21,,Vs,196.993,m/s,21.75,m,m,m/s,1.4,Qal2
57,3284,California,80,ALC043,afem,California,"af/Qi",#N/A,-122.3043,37.8635,SCPT,2001.6.21,,Vs,225.2843,m/s,25.75,m,m,m/s,1.7,af/Qi
58,3285,California,80,ALC044,,California,"Qoa",#N/A,-122.2787,37.8804,SCPT,2001.6.26,,Vs,280.1601,m/s,4.9,m,m,m/s,#N/A,Qoa
59,3286,California,80,ALC045,,California,"Qoa",#N/A,-122.2843,37.8786,SCPT,2001.6.26,,Vs,323.2265,m/s,11.3,m,m,m/s,#N/A,Qoa
60,3287,California,80,ALC046,Qhf,California,"Qal2",#N/A,-122.3,37.8817,SCPT,2001.6.26,,Vs,293.5061,m/s,18.35,m,m,m/s,2.1,Qal2
61,3288,California,80,ALC047,,California,"Qoa",#N/A,-122.2743,37.8882,SCPT,2001.6.26,,Vs,351.4883,m/s,5.55,m,m,m/s,#N/A,Qoa
62,3289,California,80,ALC048,,California,"Qoa",#N/A,-122.2795,37.8743,SCPT,2001.6.27,,Vs,302.5794,m/s,15.25,m,m,m/s,#N/A,Qoa
63,3290,California,80,ALC049,Qhb,California,"Qal2",#N/A,-122.2875,37.8706,SCPT,2001.6.27,,Vs,310.8454,m/s,18.2,m,m,m/s,3.1,Qal2
64,3291,California,80,ALC050,Qhf,California,"Qal3",#N/A,-122.2811,37.8765,SCPT,2001.6.27,,Vs,313.745,m/s,15.75,m,m,m/s,2.8,Qal3
65,3292,California,80,ALC051,Qhf,California,"Qal2",#N/A,-122.2982,37.865,SCPT,2001.6.28,,Vs,269.4263,m/s,18.55,m,m,m/s,3.4,Qal2
66,3293,California,80,ALC052,Qhf,California,"Qal2",#N/A,-122.2903,37.8537,SCPT,2001.7.5,,Vs,320.0307,m/s,20.85,m,m,m/s,2,Qal2
67,3294,California,80,ALC053,Qhl,California,"Qal2",#N/A,-122.2799,37.8492,SCPT,2001.7.5,,Vs,334.3276,m/s,13.45,m,m,m/s,3.3,Qal2
68,3295,California,80,ALC054,,California,"Qoa",#N/A,-122.2752,37.8564,SCPT,2001.7.9,,Vs,302.2933,m/s,21.75,m,m,m/s,#N/A,Qoa
69,3296,California,80,ALC055,,California,"Qoa",#N/A,-122.2614,37.8561,SCPT,2001.7.9,,Vs,275.4959,m/s,13.75,m,m,m/s,#N/A,Qoa
70,3297,California,80,ALC056,,California,"Qoa",#N/A,-122.2634,37.8661,SCPT,2001.7.9,,Vs,400.9596,m/s,5.85,m,m,m/s,#N/A,Qoa
71,3298,California,80,ALC057,Qhf,California,"Qal2",#N/A,-122.2759,37.865,SCPT,2001.7.9,,Vs,265.1806,m/s,10.35,m,m,m/s,4,Qal2
72,3299,California,80,ALC058,,California,"Qoa",#N/A,-122.2774,37.8704,SCPT,2001.7.9,,Vs,305.6715,m/s,12.45,m,m,m/s,#N/A,Qoa
73,3300,California,80,ALC059,,California,"Qoa",#N/A,-122.2941,37.8716,SCPT,2001.7.23,,Vs,325.313,m/s,13.25,m,m,m/s,#N/A,Qoa
74,3301,California,80,ALC060,Qhf,California,"Qal2",#N/A,-122.2914,37.8642,SCPT,2001.7.23,,Vs,292.6136,m/s,15.45,m,m,m/s,2.2,Qal2
75,3302,California,80,ALC061,Qhf,California,"Qal2",#N/A,-122.2835,37.8642,SCPT,2001.7.24,,Vs,320.9233,m/s,21.55,m,m,m/s,3.8,Qal2
76,3303,California,80,ALC062,Qhf,California,"Qal3",#N/A,-122.2712,37.8695,SCPT,2001.8.3,,Vs,225.8817,m/s,7.75,m,m,m/s,-,Qal3
77,3304,California,80,ALC063,afem,California,"af/Qi",#N/A,-122.3151,37.8395,SCPT,2001.9.19,,Vs,137.0422,m/s,11.75,m,m,m/s,1.9,af/Qi
78,3305,California,80,ALC064,afem,California,"af/Qi",#N/A,-122.3031,37.837,SCPT,2001.9.19,,Vs,211.7084,m/s,5.75,m,m,m/s,1.9,af/Qi
79,3306,California,80,ALC065,afem,California,"af/Qi",#N/A,-122.2988,37.8375,SCPT,2001.9.19,,Vs,197.9259,m/s,15.65,m,m,m/s,2.1,af/Qi
80,3307,California,80,ALC067,afem,California,"af/Qi",#N/A,-122.2932,37.8309,SCPT,2001.9.19,,Vs,182.2057,m/s,13.25,m,m,m/s,2.5,af/Qi
81,3308,California,80,ALC068,Qhb,California,"Qal2",#N/A,-122.2836,37.8338,SCPT,2001.9.21,,Vs,263.3187,m/s,21.55,m,m,m/s,2.3,Qal2
82,3309,California,80,ALC069,Qhb,California,"Qal2",#N/A,-122.2903,37.8412,SCPT,2001.9.21,,Vs,250.118,m/s,15.9,m,m,m/s,2.3,Qal2
83,3310,California,80,ALC070,Qhl,California,"Qal2",#N/A,-122.2876,37.8449,SCPT,2001.9.25,,Vs,277.4704,m/s,17.55,m,m,m/s,1.6,Qal2
84,3311,California,80,ALC071,Qhaf,California,"Qal2",#N/A,-122.2916,37.8479,SCPT,2001.9.25,,Vs,286.8555,m/s,19.75,m,m,m/s,2.7,Qal2
85,3312,California,80,ALC072,afem,California,"af/Qi",#N/A,-122.2974,37.8443,SCPT,2001.9.25,,Vs,270.9725,m/s,10.95,m,m,m/s,2.3,af/Qi
86,3313,California,80,ALC073,Qhl,California,"Qal2",#N/A,-122.2906,37.8372,SCPT,2001.9.26,,Vs,258.099,m/s,21.75,m,m,m/s,-,Qal2
87,3314,California,80,ALC074,Qhb,California,"Qal1",#N/A,-122.2907,37.8315,SCPT,2001.9.26,,Vs,215.8985,m/s,18.55,m,m,m/s,-,Qal1
88,3315,California,80,ALC075,Qhf,California,"Qal2",#N/A,-122.2914,37.8554,SCPT,2001.11.14,,Vs,304.3031,m/s,17.75,m,m,m/s,2.6,Qal2
89,3316,California,80,ALC076,Qhf,California,"Qal2",#N/A,-122.2826,37.8574,SCPT,2001.11.14,,Vs,275.5906,m/s,15.75,m,m,m/s,1.1,Qal2
90,3317,California,80,ALC077,Qhf,California,"Qal2",#N/A,-122.2818,37.8544,SCPT,2001.11.14,,Vs,273.8805,m/s,14.25,m,m,m/s,1.9,Qal2
91,3318,California,80,ALC078,Qhf,California,"Qal2",#N/A,-122.2827,37.8596,SCPT,2001.11.14,,Vs,253.2539,m/s,16.15,m,m,m/s,2,Qal2
92,3319,California,80,ALC079,,California,"Qoa",#N/A,-122.2695,37.8594,SCPT,2001.11.15,,Vs,319.4216,m/s,17.45,m,m,m/s,#N/A,Qoa
