travelTimeArray_ID,travelTimeMeta_ID,depth,traveltime
684,67,1.75,7.65
685,67,3.75,12.89
686,67,5.75,20.54
687,67,7.75,24.97
688,67,9.75,30.39
689,67,11.75,34.29
690,67,13.45,40.23
691,68,1.75,8.82
692,68,3.75,15.12
693,68,5.75,21.39
694,68,7.75,30.39
695,68,9.75,39.88
696,68,11.75,43.58
697,68,13.75,48.68
698,68,15.75,52.23
699,68,17.75,60.53
700,68,19.75,68.25
701,68,21.75,71.95
702,69,1.75,10.02
703,69,3.75,18.34
704,69,5.75,25.11
705,69,7.75,31.24
706,69,9.75,38.88
707,69,11.75,44.51
708,69,13.75,49.91
709,70,1.75,5.77
710,70,3.75,10.87
711,70,5.75,14.42
712,70,5.85,14.59
713,71,1.75,10.02
714,71,3.75,21.04
715,71,5.75,25.79
716,71,7.75,32.26
717,71,9.75,37.51
718,71,10.35,39.03
719,72,1.75,8.15
720,72,3.75,13.92
721,72,5.75,20.54
722,72,7.75,27.49
723,72,9.75,33.79
724,72,11.75,38.88
725,72,12.45,40.73
726,73,1.75,7.3
727,73,3.75,12.4
728,73,5.75,22.24
729,73,7.75,27.34
730,73,9.75,33.79
731,73,11.75,37.51
732,73,13.25,40.73
733,74,1.75,9.17
734,74,3.75,14.77
735,74,5.75,20.72
736,74,7.75,28.34
737,74,9.75,34.96
738,74,11.75,40.06
739,74,13.75,45.33
740,74,15.45,52.8
741,75,1.75,7.65
742,75,3.75,11.87
743,75,5.75,17.17
744,75,7.75,23.27
745,75,9.75,28
746,75,13.75,43.28
747,75,15.75,50.68
748,75,17.75,56.08
749,75,19.75,61.75
750,75,21.55,67.15
751,76,1.75,9
752,76,3.75,15.14
753,76,5.75,25.29
754,76,7.75,34.31
755,77,1.75,13.42
756,77,3.75,28.69
757,77,5.75,41.26
758,77,7.75,50.75
759,77,9.75,69.02
760,77,11.75,85.74
761,78,1.75,10.35
762,78,3.75,18.84
763,78,5.75,27.16
764,79,1.75,7.65
765,79,1.9,8.82
766,79,3.75,16.97
767,79,5.75,31.06
768,79,7.75,47.36
769,79,9.75,59.83
770,79,11.75,66.47
771,79,13.75,72.97
772,79,15.65,79.07
773,80,1.75,12.22
774,80,3.75,17.99
775,80,5.75,33.44
776,80,7.75,44.48
777,80,9.75,54.83
778,80,11.75,66.47
779,80,13.25,72.72
780,81,1.75,8.5
781,81,3.75,14.42
782,81,5.75,20.54
783,81,7.75,31.41
784,81,9.75,39.88
785,81,11.75,49.08
786,81,13.75,55.95
787,81,15.75,62.57
788,81,17.75,71.22
789,81,19.75,77.22
790,81,21.55,81.84
791,82,1.75,5.95
792,82,3.75,10.35
793,82,5.75,22.24
794,82,7.75,30.71
795,82,9.8,40.06
796,82,11.75,49.69
797,82,13.75,57.83
798,82,15.9,63.57
799,83,1.75,8.5
800,83,3.75,16.47
801,83,5.75,23.09
802,83,7.75,30.21
803,83,9.75,37.86
804,83,11.75,44.63
805,83,13.75,50.93
806,83,15.75,57.65
807,83,17.55,63.25
808,84,1.75,5.95
809,84,3.75,12.05
810,84,5.75,19.52
811,84,7.75,27.84
812,84,9.75,32.41
813,84,11.75,40.91
814,84,13.75,48.71
815,84,15.75,55.45
816,84,17.75,61.9
817,84,19.75,68.85
818,85,1.75,7.8
819,85,3.75,17.82
820,85,5.75,30.04
821,85,7.75,35.14
822,85,9.75,38.36
823,85,10.95,40.41
824,86,1.75,8.15
825,86,3.75,15.12
826,86,5.75,25.11
827,86,7.75,32.26
828,86,9.75,40.56
829,86,11.75,49.63
830,86,13.75,54.8
831,86,15.75,62.57
832,86,17.75,68.85
833,86,19.75,75.29
834,86,21.75,84.27
835,87,1.75,10.02
836,87,3.75,24.97
837,87,5.75,34.11
838,87,7.75,43.28
839,87,9.75,51.48
840,87,11.75,58.33
841,87,13.75,66.3
842,87,15.75,72.25
843,87,18.55,85.92
844,88,1.75,9.35
845,88,3.75,15.94
846,88,5.75,21.57
847,88,7.75,28.01
848,88,9.75,33.89
849,88,11.75,40.01
850,88,13.75,44.43
851,88,15.75,51.85
852,88,17.75,58.33
853,89,1.75,7.97
854,89,3.75,14.94
855,89,5.75,23.27
856,89,7.75,28.34
857,89,9.75,37.19
858,89,11.75,45.18
859,89,13.75,52.23
860,89,15.75,57.15
861,90,1.75,6.8
862,90,3.75,16.12
863,90,5.75,25.11
864,90,7.75,31.06
865,90,9.75,38.03
866,90,11.75,43.71
867,90,13.75,50.38
868,90,14.25,52.03
869,91,1.75,10.7
870,91,3.75,23.09
871,91,5.75,30.04
872,91,7.75,35.81
873,91,9.75,42.78
874,91,11.75,49.46
875,91,13.75,56.3
876,91,15.75,62.57
877,91,16.15,63.77
878,92,1.75,7.3
879,92,3.75,13.07
880,92,5.75,19.87
881,92,7.75,25.11
882,92,9.75,31.06
883,92,11.75,36.66
884,92,13.75,41.66
885,92,15.75,48.88
886,92,17.45,54.63
887,93,1.75,6.1
888,93,3.75,14.77
889,93,5.75,20.19
890,93,7.75,25.29
891,93,9.75,30.79
892,93,11.75,38.51
893,93,13.75,45.18
894,93,15.65,53.33
895,94,1.75,8.82
896,94,3.75,14.42
897,94,5.75,18.84
898,94,7.75,23.09
899,94,9.75,28.19
900,94,11.75,34.11
901,94,13.75,40.18
902,94,15.25,43.88
903,95,1.75,12.22
904,95,3.75,18.49
905,95,5.75,23.09
