depth (m),qc (MPa),fs (MPa),u (MPa),qt (MPa)
25.6,22.61,0.38,-0.036225055,22.60362449
25.7,24.97,0.46,-0.034763366,24.96395746
25.8,16.81,0.56,-0.036225055,16.8013032
25.9,15.17,0.27,-0.036225055,15.15968064
26,15.07,0.25,-0.060825549,15.05639963
26.1,16.70,0.29,-0.060825549,16.6899783
26.2,22.75,0.54,-0.059605177,22.74270488
26.3,14.65,0.72,-0.058143488,14.64235042
26.4,15.87,0.69,-0.055950955,15.86180645
26.5,18.62,0.39,-0.055468322,18.60963114
26.6,19.83,0.40,0.04146507,19.83247736
26.7,22.68,0.39,-0.05424795,22.67360329
26.8,22.13,0.49,-0.052538051,22.12208767
26.9,22.59,0.52,-0.060577338,22.58378812
27,13.73,0.65,0.020525692,13.7337007
27.1,19.37,0.30,0.036356055,19.37426302
27.2,28.94,0.30,0.052675946,28.94941116
27.3,40.20,0.34,-0.036707688,40.19073727
27.4,41.62,0.24,-0.035976844,41.61174146
27.5,48.50,0.26,-0.042071809,48.48959249
27.6,48.81,0.15,-0.041099648,48.7992363
27.7,45.28,0.14,-0.04304397,45.27610673
27.8,45.83,0.17,-0.04304397,45.82251624
27.9,46.53,0.18,-0.047670352,46.52690698
28,44.76,0.17,-0.04815988,44.753253
28.1,46.57,0.19,-0.049132041,46.55895902
28.2,44.71,0.27,-0.050835046,44.69903431
28.3,44.35,0.16,-0.051324573,44.34368936
28.4,43.40,0.24,-0.051814101,43.3909903
28.5,41.83,0.09,-0.052296734,41.82456312
28.6,43.07,0.04,-0.05424795,43.05689982
28.7,47.80,0.13,-0.055950955,47.79324686
28.8,54.79,0.17,-0.061556393,54.78416873
28.9,53.03,0.13,-0.063500715,53.01575488
29,51.53,0.12,-0.063259398,51.51675593
29.1,50.93,0.22,-0.063748926,50.91655134
29.2,49.29,0.16,-0.063990243,49.28293647
29.3,48.95,0.18,-0.063259398,48.9439581
29.4,49.04,0.25,-0.064231559,49.03535933
29.5,47.47,0.32,-0.06447977,47.46360472
29.6,42.44,0.12,-0.064962403,42.43093408
29.7,46.94,0.16,-0.065451931,46.92787032
29.8,44.70,0.34,-0.053027578,44.68798025
29.9,45.99,0.34,-0.05424795,45.98496917
30,44.61,0.13,-0.054737478,44.60431636
30.1,45.23,0.16,-0.058143488,45.22280144
30.2,47.20,0.29,-0.059115649,47.19264099
30.3,45.58,0.33,-0.055468322,45.5703346
30.4,44.45,0.06,-0.056199167,44.44254911
30.5,46.08,0.11,-0.057660855,46.06786465
30.6,46.79,0.11,-0.058633016,46.78094316
