conePenetrationTestMeta_ID,site_ID,citation_ID,name,longitude,latitude,date,coneNo,tipArea_unit,tipArea_value,pushRate_unit,pushRate_value,notes,depth_unit,tipResistance_unit,sleeveFriction_unit,porePressure_unit
1780,3739,80,OAK110,-122.22,37.8374,2002.4.10,776TC,,0,cm/s,0,,m,MPa,kPa,
1781,3740,80,OAK111,-122.247,37.8284,2002.4.10,776TC,,0,cm/s,0,,m,MPa,kPa,
1782,3741,80,OAK112,-122.304,37.808,2002.4.16,776TC,,0,cm/s,0,,m,MPa,kPa,
1783,3742,80,OAK114,-122.289,37.8129,2002.4.16,776TC,,0,cm/s,0,,m,MPa,kPa,
1784,3743,80,OAK115,-122.278,37.8096,2002.4.23,776TC,,0,cm/s,0,,m,MPa,kPa,
1785,3744,80,OAK116,-122.272,37.8094,2002.4.23,776TC,,0,cm/s,0,,m,MPa,kPa,
1786,3745,80,OAK117,-122.27,37.803,2002.4.23,776TC,,0,cm/s,0,,m,MPa,kPa,
1787,3746,80,OAK118,-122.277,37.8032,2002.4.23,776TC,,0,cm/s,0,,m,MPa,kPa,
1788,3747,80,OAK119,-122.166,37.7447,2002.5.21,776TC,,0,cm/s,0,,m,MPa,kPa,
1789,3748,80,OAK120,-122.156,37.7404,2002.5.21,776TC,,0,cm/s,0,,m,MPa,kPa,
1790,3749,80,OAK121,-122.161,37.7389,2002.5.21,776TC,,0,cm/s,0,,m,MPa,kPa,
1791,3750,80,OAK122,-122.175,37.7513,2002.5.21,776TC,,0,cm/s,0,,m,MPa,kPa,
1792,3751,80,OAK123,-122.186,37.7646,2002.5.21,776TC,,0,cm/s,0,,m,MPa,kPa,
1793,3752,80,OAK124,-122.18,37.7598,2002.5.22,776TC,,0,cm/s,0,,m,MPa,kPa,
1794,3753,80,OAK125,-122.193,37.7675,2002.5.22,776TC,,0,cm/s,0,,m,MPa,kPa,
1795,3754,80,OAK126,-122.208,37.7687,2002.5.22,776TC,,0,cm/s,0,,m,MPa,kPa,
1796,3755,80,OBN001,-89.4413,36.3049,2008.10.14,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1797,3756,80,OBN002,-89.4503,36.2827,2008.10.14,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1798,3757,80,OBN003,-89.4605,36.255,2008.10.14,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1799,3758,80,OBN004,-89.4862,36.2373,2008.10.14,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1800,3759,80,OCA001,-92.8199,33.6067,2005.12.17,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1801,3760,80,OCA002,-92.8184,33.5978,2005.12.17,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1802,3761,80,OCA003,-92.7828,33.6075,2005.12.17,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1803,3762,80,OCA004,-92.793,33.6013,2005.12.17,DDG0766,,0,cm/s,0,,m,MPa,kPa,
1804,3763,80,Oak001,-122.32,37.8041,1998.11.10,661tc,,0,cm/s,0,,m,MPa,kPa,
1805,3764,80,Oak002,-122.322,37.807,1998.11.10,661tc,,0,cm/s,0,,m,MPa,kPa,
1806,3765,80,Oak005,-122.314,37.8018,1998.11.13,661tc,,0,cm/s,0,,m,MPa,kPa,
1807,3766,80,Oak006,-122.264,37.7917,1998.11.16,661tc,,0,cm/s,0,,m,MPa,kPa,
1808,3767,80,Oak007,-122.268,37.7988,1998.11.18,661tc,,0,cm/s,0,,m,MPa,kPa,
1809,3768,80,Oak008,-122.228,37.778,1998.11.18,661tc,,0,cm/s,0,,m,MPa,kPa,
1810,3769,80,Oak009,-122.197,37.759,1998.11.20,661tc,,0,cm/s,0,,m,MPa,kPa,
1811,3770,80,Oak011,-122.207,37.7717,1998.11.24,660,,0,cm/s,0,,m,MPa,kPa,
1812,3771,80,Oak012,-122.231,37.8024,1998.12.1,660,,0,cm/s,0,,m,MPa,kPa,
1813,3772,80,Oak013,-122.201,37.7297,1998.12.7,660,,0,cm/s,0,,m,MPa,kPa,
1814,3773,80,Oak014,-122.26,37.8353,1998.12.7,660,,0,cm/s,0,,m,MPa,kPa,
1815,3774,80,Oak015,-122.276,37.825,1998.12.8,660,,0,cm/s,0,,m,MPa,kPa,
1816,3775,80,Oak017,-122.194,37.7598,1998.12.11,661tc,,0,cm/s,0,,m,MPa,kPa,
1817,3776,80,Oak018,-122.174,37.7435,1998.12.14,661tc,,0,cm/s,0,,m,MPa,kPa,
1818,3777,80,Oak019,-122.296,37.8157,1998.12.14,661tc,,0,cm/s,0,,m,MPa,kPa,
1819,3778,80,Oak020,-122.29,37.8089,1998.12.17,661tc,,0,cm/s,0,,m,MPa,kPa,
1820,3779,80,Oak021,-122.297,37.8122,1998.12.18,661tc,,0,cm/s,0,,m,MPa,kPa,
1821,3780,80,Oak022,-122.184,37.7512,1998.12.22,661tc,,0,cm/s,0,,m,MPa,kPa,
1822,3781,80,Oak023,-122.24,37.7898,1998.12.22,661tc,,0,cm/s,0,,m,MPa,kPa,
1823,3782,80,Oak024,-122.253,37.7939,1998.12.23,661tc,,0,cm/s,0,,m,MPa,kPa,
1824,3783,80,Oak025,-122.257,37.8074,1998.12.23,661tc,,0,cm/s,0,,m,MPa,kPa,
1825,3784,80,Oak026,-122.2,37.7818,1998.12.23,661tc,,0,cm/s,0,,m,MPa,kPa,
1826,3785,80,Oak027,-122.163,37.749,1999.1.5,660,,0,cm/s,0,,m,MPa,kPa,
1827,3786,80,Oak028,-122.175,37.7363,1999.1.5,660,,0,cm/s,0,,m,MPa,kPa,
1828,3787,80,Oak029,-122.243,37.7915,1999.1.6,660,,0,cm/s,0,,m,MPa,kPa,
1829,3788,80,Oak030,-122.215,37.7574,1999.1.6,660,,0,cm/s,0,,m,MPa,kPa,
1830,3789,80,Oak031,-122.261,37.7974,1999.1.7,660,,0,cm/s,0,,m,MPa,kPa,
1831,3790,80,Oak032,-122.187,37.7427,1999.1.15,660,,0,cm/s,0,,m,MPa,kPa,
1832,3791,80,Oak033,-122.179,37.7372,1999.1.19,660,,0,cm/s,0,,m,MPa,kPa,
1833,3792,80,Oak034,-122.175,37.7281,1999.1.19,660,,0,cm/s,0,,m,MPa,kPa,
1834,3793,80,Oak035,-122.191,37.7379,1999.1.20,660,,0,cm/s,0,,m,MPa,kPa,
1835,3794,80,Oak036,-122.189,37.729,1999.1.20,660,,0,cm/s,0,,m,MPa,kPa,
1836,3795,80,Oak037,-122.222,37.7146,1999.2.1,660,,0,cm/s,0,,m,MPa,kPa,
1837,3796,80,Oak038,-122.208,37.7202,1999.2.1,660tc,,0,cm/s,0,,m,MPa,kPa,
1838,3797,80,Oak039,-122.203,37.715,1999.2.2,660tc,,0,cm/s,0,,m,MPa,kPa,
1839,3798,80,Oak040,-122.207,37.7289,1999.2.3,660tc,,0,cm/s,0,,m,MPa,kPa,
1840,3799,80,Oak041,-122.226,37.7412,1999.2.5,660tc,,0,cm/s,0,,m,MPa,kPa,
1841,3800,80,Oak042,-122.213,37.7091,1999.2.5,660tc,,0,cm/s,0,,m,MPa,kPa,
1842,3801,80,Oak043,-122.232,37.7109,1999.2.8,660tc,,0,cm/s,0,,m,MPa,kPa,
1843,3802,80,Oak044,-122.219,37.7023,1999.2.8,660tc,,0,cm/s,0,,m,MPa,kPa,
1844,3803,80,Oak045,-122.226,37.7279,1999.2.10,660tc,,0,cm/s,0,,m,MPa,kPa,
1845,3804,80,Oak046,-122.189,37.729,1999.2.19,660tc,,0,cm/s,0,,m,MPa,kPa,
