depth (m),qc (MPa),fs (MPa),u (MPa),qt (MPa)
8.1,7.128986183,0.140289133,-0.001454794,7.128695224
8.15,5.139370275,0.160398838,-0.0015789,5.139054495
8.2,3.963239814,0.140001851,-0.001213478,3.962997118
8.25,3.752470953,0.109454252,0.000848055,3.752640564
8.3,3.760514835,0.093941051,-0.002185639,3.760077707
8.35,3.523124555,0.079002413,-0.001454794,3.522833596
8.4,3.432439362,0.074788951,-0.001454794,3.432148403
8.45,3.429758068,0.071916136,-0.001454794,3.429467109
8.5,3.701813648,0.093653769,-0.001454794,3.701522689
8.55,3.963239814,0.139331528,-0.001820217,3.962875771
8.6,3.715220118,0.169017282,-0.001944322,3.714831254
8.65,3.576463154,0.188743946,-0.003040589,3.575855036
8.7,3.597817745,0.19908608,-0.006805128,3.596456719
8.75,3.544479147,0.21450352,-0.009480295,3.542583088
8.8,3.291096864,0.187020257,-0.005832967,3.289930271
8.85,3.595136451,0.171890097,0.010204245,3.5971773
8.9,3.816534727,0.174762913,-0.001820217,3.816170684
8.95,3.048439757,0.151971914,-0.0015789,3.048123977
9,2.664344392,0.128606352,0.000365422,2.664417476
9.05,2.416324697,0.092313122,0.00243385,2.416811467
9.1,2.392288811,0.091642799,0.009232084,2.394135228
9.15,2.394970105,0.096143542,0.011176406,2.397205386
9.2,2.456352586,0.098824836,0.008625345,2.458077655
9.25,2.554985901,0.102080693,0.011665934,2.557319088
9.3,2.685698983,0.09959092,0.015920001,2.688882983
9.35,2.640308506,0.096047781,0.027220512,2.645752608
9.4,2.549623313,0.095185937,0.029888785,2.55560107
9.45,2.362986098,0.097388428,0.027220512,2.3684302
9.5,2.621635209,0.092217362,0.031350474,2.627905304
9.55,2.781746765,0.085226845,0.031957213,2.788138208
9.6,2.79237618,0.089727589,0.029888785,2.798353937
9.65,3.048439757,0.107730563,0.036693913,3.05577854
9.7,3.299140746,0.118168457,0.04252688,3.307646122
9.75,3.325762165,0.116444768,0.034391063,3.332640378
9.8,3.341754168,0.109550012,0.028192674,3.347392703
9.85,3.296459452,0.118934541,0.013610256,3.299181503
9.9,3.459156541,0.125829297,-0.003647328,3.458427075
9.95,3.443164538,0.134256221,-0.003764539,3.44241163
10,3.936522634,0.155515052,-0.002309745,3.936060685
10.05,4.243243516,0.150248225,0,4.243243516
10.1,5.184664991,0.139140007,0.002185639,5.185102119
10.15,6.099465048,0.131000364,0.002068428,6.099878734
10.2,6.691552219,0.134926545,0.001944322,6.691941083
10.25,6.430221815,0.147758452,0.001337583,6.430489332
10.3,5.550087059,0.162314048,0.000365422,5.550160143
10.35,4.992665189,0.178593333,0.000241317,4.992713452
10.4,4.8646334,0.184434723,-0.000241317,4.864585137
10.45,4.661908422,0.182232232,-0.000730845,4.661762253
10.5,4.600621702,0.166910552,-0.000848055,4.600452091
10.55,4.848641397,0.176869644,-0.001096267,4.848422144
10.6,4.344558125,0.171028253,-0.002309745,4.344096176
10.65,3.539116559,0.143832271,-0.000241317,3.539068296
10.7,2.59501379,0.132724053,-0.000482633,2.594917263
10.75,2.501647302,0.109550012,-0.00243385,2.501160532
10.8,2.144269116,0.083886198,0.008259922,2.1459211
10.85,2.002926618,0.075746556,0.006439706,2.004214559
10.9,2.456352586,0.074884711,0.010935089,2.458539604
10.95,3.256431563,0.08608869,-0.001454794,3.256140604
11,4.000490648,0.097005386,-0.000365422,4.000417564
11.05,4.936645296,0.106772958,-0.000241317,4.936597033
11.1,5.750130744,0.111944025,0.000365422,5.750203828
11.15,6.48882724,0.117306613,0.000124106,6.488852061
11.2,6.824850835,0.121041272,0.000124106,6.824875656
11.25,6.347484743,0.122381919,0.000124106,6.347509564
11.3,5.67275626,0.126595381,0.000241317,5.672804523
11.35,5.55803518,0.157717544,0.000124106,5.558060001
11.4,4.784673383,0.193053168,-0.000124106,4.784648562
11.45,3.939203928,0.18759482,0.000241317,3.939252191
11.5,4.011215824,0.182136471,-0.002068428,4.010802138
11.55,4.750008082,0.191999802,0.008018606,4.751611803
11.6,7.417033767,0.222930444,0.006563812,7.418346529
11.65,11.21748073,0.262575291,0.000241317,11.21752899
11.7,14.47391229,0.307486966,0.000241317,14.47396055
11.75,16.42618161,0.368582165,0.000241317,16.42622987
11.8,17.37832826,0.395012063,0.000124106,17.37835308
11.85,17.66637584,0.465779072,0,17.66637584
11.9,17.62634795,0.501880781,-0.000730845,17.62620178
11.95,17.90098907,0.519596473,-0.000972161,17.90079464
12,17.73302515,0.529076763,-0.000848055,17.73285554
12.05,17.33830037,0.529938607,-0.000848055,17.33813076
12.1,17.29290989,0.521703204,-0.000972161,17.29271546
12.15,16.98092218,0.53434359,-0.001096267,16.98070293
12.2,16.22345663,0.46539603,-0.001213478,16.22321393
12.25,15.15668466,0.48454813,-0.001337583,15.15641714
12.3,9.190518227,0.449116745,-0.002185639,9.190081099
12.35,13.61513213,0.405354197,-0.002551061,13.61462192
12.4,13.49246293,0.389362193,-0.002675167,13.4919279
12.45,13.53249082,0.372412585,-0.002551061,13.53198061
12.5,13.8392117,0.368582165,-0.00243385,13.83872493
12.55,13.73512004,0.384765689,-0.002551061,13.73460983
12.6,13.48173775,0.392713811,-0.002309745,13.4812758
12.65,12.81773445,0.389745235,-0.00243385,12.81724768
12.7,11.57485892,0.391468924,-0.002551061,11.57434871
12.75,10.09737016,0.354792653,-0.002792378,10.09681168
12.8,8.577172225,0.289292471,-0.003040589,8.576564107
12.85,8.715833429,0.25280772,-0.003523222,8.715128785
12.9,9.1852514,0.231931931,-0.00401275,9.18444885
12.95,10.17196759,0.247636653,-0.004254067,10.17111678
13,11.75354801,0.27760969,-0.004129961,11.75272202
13.05,12.75903326,0.316584213,-0.003764539,12.75828035
13.1,15.04732617,0.398938243,-0.004129961,15.04650018
13.15,18.6664985,0.529172523,-0.005708861,18.66535673
13.2,20.96542083,0.625124544,-0.003647328,20.96469136
13.25,19.09856988,0.669844698,-0.003888645,19.09779215
13.3,14.1192154,0.617463704,-0.004129961,14.11838941
13.35,8.761128145,0.537599447,-0.004371278,8.760253889
13.4,6.211504832,0.422686847,-0.005708861,6.21036306
13.45,5.347362081,0.299730365,-0.0031578,5.346730521
13.5,4.832649393,0.209332453,-0.003399117,4.83196957
13.55,4.608569823,0.172177379,-0.002792378,4.608011347
13.6,4.45659791,0.167485115,-0.003281906,4.455941529
13.65,4.195267505,0.139235767,-0.002068428,4.194853819
13.7,3.955195931,0.152642237,-0.001337583,3.954928414
13.75,3.021722578,0.14929062,0,3.021722578
13.8,4.09653843,0.152259195,-0.003399117,4.095858607
13.85,5.275350185,0.182711034,-0.001096267,5.275130932
13.9,5.79542546,0.196979348,-0.01336894,5.792751672
13.95,6.171476944,0.226282062,-0.014341101,6.168608724
14,7.238344674,0.256733901,-0.002675167,7.237809641
14.05,6.760882821,0.28718574,-0.003764539,6.760129913
14.1,5.52336988,0.26046856,-0.000606739,5.523248532
14.15,4.325884827,0.209428214,0.013975679,4.328679963
