depth (m),velocity (m/s)
22.85,301.3460905839538
22.9,276.7419261879545
22.95,238.21029301199377
23.0,236.03502574898482
23.05,235.90788235579674
23.1,236.25244814976128
23.15,243.8580181258225
23.2,251.66061995477028
23.25,256.7623340471181
23.3,260.33846478373476
23.35,263.71779248319666
23.4,267.4711999352181
23.45,268.84310197589826
23.5,267.3773389897936
23.55,265.3852088039681
23.6,262.748591634679
23.65,262.94449066740344
23.7,262.59090040454123
23.75,282.4333788137325
23.8,282.5201422378336
23.85,285.4965034937253
23.9,284.9619371628547
23.95,284.8679156644833
24.0,254.94886641022404
24.05,253.86243208549442
24.1,258.39615952288057
24.15,258.83813381540915
24.2,299.93481288165515
24.25,304.67071207721136
24.3,307.2211225290969
24.35,307.466991728701
24.4,304.37453875972994
24.45,302.0606504802447
24.5,249.5532280970588
24.55,248.99923925593066
24.6,248.60354033937176
24.65,263.58283808848404
24.7,264.34025738204105
24.75,300.27349976790174
24.8,314.4310391751505
24.85,322.5703833848334
24.9,333.0264744970099
24.95,333.8834339856066
25.0,335.05603532204753
25.05,332.17696154188747
25.1,301.6192460341325
25.15,301.04008799232804
25.2,301.7746673641309
25.25,304.0968700699463
25.3,303.200099043167
25.35,324.1362232446734
25.4,322.44129397449166
25.45,325.19903172303896
25.5,320.94124011837846
25.55,307.42088644329317
25.6,295.81538744666926
25.65,292.40594276404914
25.7,292.97852948078423
25.75,288.774208778945
25.8,298.1761562605612
25.85,297.14967376045087
25.9,331.89034552546906
25.95,343.98475810975424
26.0,339.3121054384841
26.05,332.4249473199877
26.1,336.3417841812808
26.15,340.5638537629946
26.2,335.0151154607123
26.25,319.85385960717207
26.3,326.8932659077437
26.35,327.9260910867855
26.4,331.7457939630536
26.45,305.65616835537264
26.5,333.469853093503
26.55,352.5081699886376
26.6,351.4031372430115
26.65,357.760478419199
26.7,362.2396510154645
26.75,367.001496443529
26.8,369.823542282186
26.85,369.92475726554744
26.9,369.320615090774
26.95,364.0039583351999
27.0,354.4199876912493
27.05,346.9292216611019
27.1,335.71634452786856
27.15,328.11318598432143
27.2,317.0847634849369
27.25,305.7215568719507
27.3,293.92141851926004
27.35,290.14283895275713
27.4,288.73276408923476
27.45,294.1164826731167
27.5,294.92053272274035
27.55,322.35557792047285
27.6,323.98232817009807
27.65,324.7715999992324
27.7,319.63792314955066
27.75,312.8352936463515
27.8,313.07553650351116
27.85,313.62334347705905
27.9,317.33575820094563
27.95,321.95013253466914
28.0,360.8865330511135
28.05,358.60843899431694
28.1,354.37167662231303
28.15,349.5289124364492
28.2,353.51506617464076
28.25,359.806212347389
28.3,364.10321344830885
28.35,369.50667196982965
28.4,374.3355178312093
28.45,377.5777917522354
28.5,379.47862769507316
28.55,378.11935491851995
28.6,379.75165620265244
28.65,379.67773273775754
28.7,377.75044832359436
28.75,369.61772691558576
28.8,368.8033635197223
28.85,370.3129299076636
28.9,367.41470470672516
28.95,367.23853531102804
29.0,363.73747243698665
29.05,363.6659345943142
29.1,364.00104312477276
29.15,363.92603335394625
29.2,367.8913792381275
29.25,365.5428072560863
29.3,339.6555716442535
29.35,335.53668750542386
29.4,337.91535425768217
29.45,339.2045515163961
29.5,340.35402670358155
29.55,359.6660960499901
29.6,359.2476407355136
29.65,363.92675764836343
29.7,366.34222906821606
29.75,371.22995763358637
29.8,371.4817956110285
29.85,371.6847116582244
29.9,371.2543571230023
29.95,372.57456982815864
30.0,373.8024687410141
30.05,372.42060023702055
30.1,369.94128980212383
30.15,364.74639890386646
30.2,316.2016712301924
30.25,313.460991515215
30.3,313.16119260424114
